word,0,1,2,3,4,5
5Coloring,1,48,68,177,1898,13640
5S rRNA Data,1,1,1,1,5,59
5th International,18,137,191,325,352,361
6 1999 2,1,7,62,290,519,1116
621,3,190,2009,49981,49981,49981
64Bit SuperH,1,1,1,1,1,23
68,22,727,49981,49981,49981,49981
6GHz 140Mbps Digital,1,1,1,1,1,1
6th,28,16106,49076,49981,49981,49981
746 PCOMP A Fortran,1,1,1,1,1,1
7th Annual,2,24,29,38,404,2792
7th Edition,1,2,3,16,190,1297
8 Workshop des,1,3,4,27,196,225
80212,2,13,74,583,2130,49981
810 2002 Proceedings,1,4,14,56,74,89
816,4,128,1438,49981,49981,49981
816 Mrz,1,1,5,22,256,30037
82 Proceedings,3,90,291,357,357,819
83,23,1294,49981,49981,49981,49981
89 2000,1,10,94,283,435,1342
8th Annual European,1,2,2,2,2,2
8th IEEE,1,9,13,60,538,7555
9,706,49981,49981,49981,49981,49981
92,47,1671,49981,49981,49981,49981
92 Montreal Canada,1,2,5,5,5,5
97,98,848,49981,49981,49981,49981
98 PC,1,24,334,26200,49709,49981
98 Proceedings,21,159,291,357,357,819
98 Workshop,2,12,206,226,243,515
98 Workshop Program,1,1,1,1,1,3
99,350,706,49981,49981,49981,49981
A,23946,49981,49981,49981,49981,49981
A 1approximation,1,1,49,292,346,371
A 3D,8,794,19003,49695,49981,49981
A 3D XMLbased,1,1,1,6,13,37
A B2BB2C Hybrid,1,1,1,1,1,1
A Basic Topological,1,1,1,1,1,24
A Bayesian approach,2,8,12,12,13,15
A Benchmark,4,57,94,95,106,248
A Bernoulli Factory,1,1,1,1,1,1
A Better Fitness,1,1,1,1,1,6
A BiCMOs,1,1,8,17,751,15143
A BiCategorical,1,1,11,22,35,63
A Bias,1,41,2209,15194,47785,49932
A Bigger,1,1,9,305,4440,35126
A Biophysical Model,1,1,1,1,1,8
A Boolean,2,138,151,169,873,11136
A Boolean Approach,1,1,1,1,2,40
A Branch,3,73,113,518,9958,35301
A Brazilian,1,7,8,8,38,679
A Brazilian Study,1,1,1,1,3,5
A Bridge,4,23,63,212,4145,36382
A Brief Overview of,1,1,1,3,4,4
A CAPP Expert,1,1,1,2,20,164
A CLP Model to,1,1,1,1,17,150
A Calculus for,3,19,25,59,91,199
A Calculus of Lambda,1,1,1,1,2,3
A Case,179,504,2800,18276,48873,49925
A Case Study,160,203,240,285,320,635
A Case Study Of,1,36,91,181,229,280
A Case Study in,32,38,91,190,240,275
A Case Study of,27,46,96,187,250,411
A Case of,3,30,250,803,3145,15772
A CaseBased Approach,4,4,4,9,21,90
A Challenge,5,92,136,138,251,746
A Challenge for,3,6,16,33,61,119
A Characterization,15,123,174,174,183,314
A Class of,18,94,118,620,1965,4706
A Classification,6,214,314,324,334,415
A Classification of,3,33,88,203,299,337
A Cleanup on,1,1,1,1,1,40
A Clustering Scheme,1,1,1,3,4,9
A Cognitive Model of,2,4,4,4,10,17
A Coherence,1,37,57,341,802,2437
A Collaborative,13,113,160,211,277,311
A Collaborative CMAC,1,1,1,4,24,114
A Collection,1,66,103,318,941,3332
A Common,11,112,1024,2474,12356,33051
A Comparative,43,61,99,212,477,1684
A Comparative Study,24,26,31,38,44,65
A Comparison of,70,152,228,266,316,446
A Competitive,7,30,58,133,330,1379
A Compiled Approach,1,1,3,5,8,33
A Compiler for,3,12,19,33,102,415
A Complete,28,156,354,1989,5231,9283
A Complete Axiomatic,1,5,6,8,8,8
A Complete and,1,2,6,45,202,445
A ComponentBased,4,21,32,47,56,240
A Compositional,7,25,42,128,398,836
A Computation,25,579,775,878,1885,4708
A Computational,18,174,283,689,821,974
A Computer,34,758,1217,2704,4977,11463
A Concatenated,1,5,9,15,18,36
A Conceptual,19,100,148,182,430,680
A Conceptual Model,8,23,38,43,49,92
A Concurrency Model,1,2,2,3,10,76
A Concurrency Test,1,1,1,3,64,143
A Concurrent Search,1,2,2,3,8,34
A Configrable,1,5,18,26,131,208
A Conformance,1,14,22,70,1124,1697
A Constraint,14,457,636,757,1245,2409
A Constraint Network,1,7,7,7,8,10
A ConstraintAided,1,1,1,4,26,148
A ConstraintOriented,1,2,2,2,2,4
A Contour,1,40,87,1501,5279,21621
A Control,6,926,1207,1483,4196,16585
A Controlled,1,35,137,188,1025,1418
A Cooperative,6,107,205,288,412,1023
A Coordinated,1,10,40,122,154,204
A CoupledART,1,1,1,2,28,93
A Critical Research,1,1,1,2,3,5
A Critique,5,6,12,26,201,1369
A Critique of,4,5,6,7,8,32
A Cryptosystem Based,1,3,7,8,8,10
A Cut,2,114,5081,42818,49876,49981
A CutElimination,1,3,5,5,44,60
A D0LT0L Public Key,1,1,1,1,1,2
A DIstributed,1,85,1102,1382,1636,1824
A Data Structure,3,89,98,114,163,527
A Data Structure for,3,11,20,33,49,109
A Debugging,4,50,64,66,138,691
A Decentralized,4,20,34,38,75,217
A Decoupled,1,6,10,23,75,790
A Defence of,1,1,3,5,119,693
A Definition of,1,19,35,67,131,332
A Design,30,1249,1902,2450,10573,38218
A Design Pattern,4,20,22,26,29,88
A Design Space,1,7,7,16,78,510
A Desktop Experiment,1,1,2,2,2,2
A Dialectical,2,3,4,6,65,265
A Digital Television,2,6,7,7,7,9
A Digital Watermark,2,10,11,12,12,12
A Directly,1,3,20,222,399,1854
A DisTrustBased,1,1,1,1,1,2
A Distributed,84,1102,1382,1615,1692,1841
A Dual Model for,1,1,1,7,64,160
A Dynamic,32,641,983,1042,1276,6330
A Dynamic Approach,1,1,3,4,12,31
A Dynamic Clinical,1,1,1,1,1,3
A European,2,53,62,81,106,1866
A Fair,5,86,1108,13792,48475,49940
A Fast,75,252,1572,22555,48326,49934
A Fast Algorithm for,16,16,21,29,76,302
A Fast Effective,1,1,1,7,39,100
A Fast Las Vegas,1,1,1,1,2,9
A Fast LowPower,1,1,1,1,4,15
A Fast Planar,1,1,1,4,59,200
A Fast Processor,1,2,2,2,36,178
A Fast and Accurate,1,2,4,5,6,8
A Fast and Robust,3,4,4,4,4,11
A FastA,1,75,252,1596,22977,48497
A FaultTolerant,13,78,150,221,235,238
A FaultTolerant VLSI,1,3,3,7,32,83
A Fexible,1,43,121,197,807,9973
A Fibonacci,1,3,7,8,36,102
A Finite,6,311,422,1828,14809,42913
A Finite Family,1,1,1,1,4,42
A Finite Family Weak,1,1,1,1,1,1
A First,16,160,435,4567,30503,49353
A First Step Towards,3,4,4,5,5,5
A Flexible,42,121,184,199,219,1065
A Flexible System,1,1,1,1,12,90
A Formal Engineering,1,2,2,2,3,16
A Formal Perspective,1,2,2,2,5,17
A Formal Theory of,3,3,3,5,7,25
A Framework,113,512,592,593,609,788
A Framework for,102,323,377,415,468,572
A Framework for WWW,1,1,1,103,324,379
A Framework for the,8,21,53,177,340,389
A Fully Flexible,1,1,1,1,2,7
A Functional,23,230,332,807,1048,2645
A Functional DBPL,1,1,1,7,119,225
A Further,2,7,24,44,1388,20649
A Fuzzy,26,239,440,543,3361,31391
A Fuzzy Decision,1,3,4,5,9,23
A Fuzzy Logic,5,32,43,50,62,165
A Fuzzy Modal,1,2,12,18,47,179
A Fuzzy Reasoning,2,5,6,7,7,10
A General,97,403,1196,1604,3292,18785
A Generalization of,18,25,43,62,83,225
A Generalized,22,144,255,328,516,1179
A Generator for,4,20,28,86,140,406
A Generator of,1,6,26,157,343,726
A Generic,24,90,519,1566,2995,16461
A Generic Algorithm,2,16,200,233,275,297
A Generic Approach,5,6,12,20,25,69
A Generic Metadata,1,1,1,1,1,2
A Generic Tool,1,3,5,15,65,379
A Genetic Learning,1,3,3,3,3,12
A Genralized,1,23,145,266,376,659
A Geppert,1,1,1,202,3517,15059
A Global Graph,1,2,3,4,10,129
A Global Review,1,1,1,1,6,23
A Global Routing,1,5,7,7,13,28
A GoalDriven,1,1,2,3,18,120
A Graph,41,904,1215,2527,16256,47754
A Graph Drawing and,1,1,2,2,9,20
A GraphBased Query,1,1,1,1,4,14
A Grid,3,150,544,8651,46235,49935
A Grid Architecture,1,3,4,7,48,431
A Group Based,1,1,2,11,41,264
A Guide,12,94,177,1960,22701,49176
A Guide to,5,10,23,45,220,2513
A Guide to Modula2,1,1,1,1,1,2
A Guided Tour Across,1,1,1,1,2,2
A HOL extension,1,1,1,1,11,86
A Health Care,2,13,15,24,33,46
A Hebbian Model,1,1,1,1,2,31
A Hebbian Model in,1,1,1,1,1,1
A Heuristic,16,111,154,172,350,1516
A Heuristic for,4,22,40,59,105,162
A Hierarchical,22,191,285,295,371,538
A Hierarchy of,6,32,41,63,122,386
A HighLevel Petri,1,5,6,7,21,41
A HighPerformance,13,66,140,172,233,802
A HighSpeed,8,46,89,110,170,609
A Histogramm with,1,1,1,1,1,9
A Houghbased Method,1,1,1,1,1,1
A Human Factors,3,11,11,11,16,29
A Hybrid,40,173,253,318,1437,19097
A Hybrid Image,1,1,2,9,33,143
A Hybrid Multiple,1,1,2,2,3,6
A Hybrid Reasoning,1,2,2,2,2,5
A JPEGlike texture,1,1,1,1,1,1
A Java VM JustInTime,1,1,1,1,1,1
A Kernel Between,1,1,1,1,1,6
A KernighanLin Local,2,2,2,2,2,2
A Key to Process,1,1,1,2,6,41
A Kleene,1,12,16,302,4031,28803
A Kleene Theorem,1,1,1,1,1,7
A Kleene Theorem for,1,1,1,1,1,2
A Knowledge,58,632,875,883,887,932
A LISP,2,16,40,2806,36789,49794
A Language,40,1150,1349,1382,2326,3732
A Language Modeling,1,4,6,9,17,19
A Las Vegas,2,10,12,12,26,192
A Las Vegas On,1,1,2,10,12,13
A Lazy Approach,1,1,1,4,104,558
A LeafSize,1,1,1,3,76,2205
A Lift,2,17,491,13017,48027,49918
A Linear,35,463,678,2676,11969,42727
A Linear Logical,1,1,1,22,33,50
A Linear Planner,1,1,2,3,3,25
A Linear Problem,1,1,1,2,40,85
A Literature,1,16,27,30,70,1653
A Localized Mobility,1,1,1,1,1,1
A Location Based QoS,1,1,1,4,7,9
A Logic for Category,1,1,1,1,1,1
A LogicBased,5,16,28,31,134,698
A Logical,27,134,220,1952,3576,13315
A Logical Basis for,1,3,3,5,8,11
A Logical Treatment,1,1,1,1,5,12
A Logical View of,4,4,4,6,6,10
A Low Level Analyser,1,1,1,1,1,1
A Lower,15,93,512,3063,34764,49499
A Lower Bound,15,74,117,138,177,310
A Lower Bound for,6,18,42,88,111,143
A Lower Bound of,2,12,36,63,120,146
A Lyapunov function,1,1,2,3,3,3
A Machine,14,473,599,976,3788,17900
A Main Storage Based,1,1,1,1,2,2
A Markov,8,105,125,274,2364,29690
A Marriage Made in,1,1,1,1,1,1
A Massively Parallel,6,39,48,58,58,59
A Mathematical,14,70,102,137,145,219
A Matrix,5,105,239,548,5657,38545
A Mechanism for,12,59,83,104,125,235
A Mechanization of,1,1,1,1,1,54
A MetaLanguage,2,4,5,14,67,1174
A MetaLanguage for,2,3,3,4,28,133
A Meteorological,1,4,8,13,19,48
A Method,99,1126,1444,1756,9529,34071
A Method for,41,274,492,641,941,1704
A Method of Enabling,1,1,1,1,2,3
A Methodology,39,152,213,228,294,983
A Methodology for,30,77,101,115,155,264
A Middleware for,1,7,10,18,35,53
A Minimal,5,94,167,448,2696,16804
A Minimal Logic,1,1,1,2,7,129
A MinimumHop,1,1,1,26,128,201
A MobileAgentBased,2,5,8,9,11,11
A Modal,4,187,2926,6077,28616,49119
A Modal Approach to,1,1,1,23,51,183
A Model for,29,320,536,926,1868,5419
A Model of,27,199,640,1318,3602,6748
A Model of Learning,1,1,1,2,5,15
A Modern,3,24,133,2826,10758,41760
A Module System for,2,3,3,4,5,15
A Monte Carlo,7,31,44,48,48,62
A MultiAdjoint,1,1,2,2,9,116
A MultiObjective,1,5,19,32,34,40
A Multicast Kernel,1,1,1,2,5,21
A MultipleBaseline,1,1,1,1,1,3
A Multiresolution,3,19,51,55,57,63
A Natural,14,186,256,742,3199,16733
A Natural Family of,1,1,1,1,1,1
A Natural Language,10,110,127,140,144,169
A Natural Model,1,2,2,11,41,270
A Natural Model for,1,1,1,1,8,35
A Nearly,5,12,35,290,6851,32258
A Neural,24,369,557,1173,8335,38301
A Neural Compiler,1,1,1,2,2,14
A Neural Network,12,279,313,399,411,514
A NeuroBased,1,1,1,2,53,590
A New,352,756,5554,37431,49847,49981
A New Algorithm for,15,16,20,30,269,791
A New Approach,56,61,73,105,604,1378
A New Approach to,39,50,63,83,339,782
A New Class,8,10,11,27,554,1300
A New Definition,2,4,5,5,50,114
A New Dynamic Neural,1,1,1,1,1,4
A New Formulation of,1,1,1,1,7,15
A New Framework,6,8,8,13,258,543
A New Framework for,5,6,7,9,184,345
A New Global,1,1,1,6,167,401
A New Join Algorithm,1,1,1,2,9,32
A New Look,4,4,10,89,479,2959
A New Model,11,17,32,94,1320,3663
A New Privacy,1,1,1,1,32,98
A New Program,1,1,2,17,963,2163
A New Program to,1,1,1,1,3,54
A New SelfChecking,1,1,1,1,8,11
A New Structuring,1,1,1,2,15,41
A New System for,1,1,1,7,160,498
A Nigerian,1,1,1,1,90,3695
A NonTime,1,1,8,201,1934,15142
A NonTime Based,1,1,1,1,1,15
A Normative Model of,1,1,1,1,4,15
A Notation,2,39,111,878,6087,23103
A Note,105,271,1393,20339,49107,49945
A Note on,100,136,157,246,1597,18862
A Note on Graph,1,1,1,4,61,140
A Note on Iterating,1,1,1,1,4,9
A Note on Parallel,4,4,4,5,9,63
A Note on Perfectly,1,1,1,1,1,2
A Note on Universal,2,2,2,2,2,6
A Note on the,25,33,58,122,199,758
A Novel,67,108,393,5933,24724,49088
A Novel Approach to,8,13,15,56,83,180
A Novel Fuzzy Logic,1,1,1,1,1,14
A P Ambler P,1,1,1,1,1,35
A P2P Approach,1,1,1,60,205,1300
A PBNM System,1,1,1,6,78,836
A PDP8,1,2,13,1283,28347,49740
A PDP8 emulator,1,1,1,1,1,1
A Paradigm to,1,11,39,63,108,156
A Parallel,86,1120,1654,1683,1960,4729
A Parallel Adaptive,2,4,5,5,5,9
A Parallel Algorithm,17,85,106,122,123,132
A Parallel Cellular,1,1,1,1,2,5
A Parallel General,1,1,2,5,17,63
A Parallel Merging,1,2,2,2,14,73
A Parallel Mesh,1,2,7,57,283,1152
A Parallel Prolog,1,4,10,88,206,377
A Parallel VLSI,2,3,3,27,247,1049
A Parametric NL,1,1,9,38,73,111
A Partial,6,198,382,1781,4758,19136
A Pattern,2,310,435,538,2754,17076
A PeertoPeer Content,1,2,2,2,3,4
A PenaltyFunction,1,1,1,1,1,7
A Percolating,1,2,2,4,11,101
A Performance Study,9,13,21,22,35,187
A Personal Computer,2,10,13,14,16,25
A Perspective on,5,17,36,77,178,209
A Petri,3,161,1037,6325,36511,49668
A Phenomenological,1,1,2,2,2,3
A Pictorial,2,8,16,43,268,1397
A Pipeline,4,58,90,105,335,4257
A Pivoting,2,5,7,11,284,5548
A PolynomialTime,5,18,47,60,96,239
A Polytypic,1,1,3,4,60,687
A PomsetBased Model,1,1,1,1,1,1
A Portable,18,53,64,208,2926,7230
A Position,3,51,85,611,2556,11183
A Postmodern,1,1,1,1,7,58
A Practical,54,128,201,360,844,3164
A Practical Model,1,1,2,12,46,164
A Practical Solution,2,4,4,4,4,13
A Pragmatic Task,1,1,1,1,8,12
A Preliminary Study,2,2,3,5,6,23
A Procedure,6,137,183,197,766,2925
A Process,13,1291,1687,2660,5643,16679
A Programmers,4,13,35,108,1675,2282
A Programmers View,2,2,2,4,6,11
A Programming,20,828,971,1042,1190,2186
A Proposal for,11,13,21,25,124,314
A Proposed Method,1,1,1,1,2,13
A Protocol,9,465,570,612,970,6145
A Protocol to,1,7,112,278,537,652
A Protocol to Set,1,1,2,3,12,60
A Prototype for,6,9,17,26,46,227
A Prototype for High,1,1,1,1,7,14
A Prototype of an,2,2,2,7,14,36
A Provably Secure,1,3,4,4,8,10
A Pruned,1,2,25,689,7525,36628
A QoS,6,78,2856,44291,49855,49981
A Quantitative,7,44,87,130,214,263
A Query,11,323,630,1398,15481,48719
A Queuing Model,2,7,16,16,19,66
A Reader for VRML,1,1,1,1,2,2
A RealTime,17,367,496,616,1042,4959
A RealTime Algorithm,2,2,2,2,14,43
A RealTime Control,2,11,15,15,22,40
A Recognition Cone,1,1,1,3,126,269
A Reference Model,1,9,10,13,17,48
A Reflective,2,16,29,116,447,1379
A RegionRegion and,1,1,1,1,1,1
A Resource for the,1,1,2,4,11,32
A Response,7,75,118,139,973,5051
A Retrospective on,2,2,3,13,36,58
A Review,34,136,206,524,5789,28319
A Robust,23,130,234,1087,7215,36149
A Robust Approach,1,2,4,4,5,56
A Robust Efficient,1,1,2,2,5,6
A Role,4,158,1814,20512,48965,49948
A SAN Is Born,1,1,1,1,1,1
A Scalable,29,110,169,201,607,3788
A Scalable Avatar,1,1,1,2,13,57
A Scalable QoS,1,2,7,48,124,176
A SecondGeneration,1,2,5,6,7,38
A Security,6,225,299,318,574,2966
A SelfOrganizing,2,25,38,52,58,77
A SelfRouting,1,5,6,7,42,334
A SelfTest Hardwired,1,1,1,1,1,1
A Semantic Model for,3,3,4,6,6,13
A Semantic Model of,1,4,4,4,11,15
A Semantic Query,2,6,6,7,17,125
A Sequential,2,131,181,199,251,1080
A Shannontheoretic,1,1,1,1,1,1
A ShortTerm,1,7,10,15,119,515
A Signing Avatar,1,1,1,1,1,1
A SimilarityBased,2,6,9,11,17,68
A Simple,75,226,541,3207,11259,38164
A Simple Analysis of,1,1,1,1,4,24
A Simple Extension,1,1,1,2,5,14
A Simple Method,2,2,5,7,27,107
A Simulation Model,2,19,23,42,81,345
A Simulation and,1,22,52,147,525,1029
A Simulation of,3,124,245,525,919,1620
A Simulator,1,48,90,729,1286,2013
A Sociological,1,1,1,10,152,289
A Software,40,977,1335,1350,1443,4893
A Space of,1,7,28,254,967,5132
A Spanning Tree,1,47,47,55,61,78
A Spatial Metadata,1,1,1,1,1,5
A Statistical,16,127,197,241,273,448
A Step Towards Fluid,1,1,1,1,2,5
A Stochastic,7,117,167,173,201,885
A Strategy for Query,1,1,1,2,8,38
A Stream Processor,1,1,1,1,1,29
A Strongly Typed,1,4,5,5,5,18
A Study,60,510,796,1295,12850,45663
A Study of,35,217,310,413,728,2657
A Study of the,5,36,57,114,283,513
A Study on,19,77,298,430,696,1638
A Subjective,2,7,12,46,168,620
A Substructural,1,3,4,25,133,197
A Summary,8,24,65,91,549,7613
A Survey,61,108,145,555,3438,31311
A Survey of,33,51,62,98,228,1613
A Survey on,2,42,60,97,210,863
A Symbolic,4,104,175,253,437,2460
A Synchronous,2,80,202,234,346,391
A System,99,4807,5677,6291,10687,35706
A System Design,2,39,57,69,136,376
A System That Learns,1,1,1,1,1,2
A System for,53,421,610,869,1798,5674
A System for Program,1,4,7,9,13,49
A System of,3,88,553,1569,5207,6708
A Systematic,10,27,51,72,476,6400
A Systems,13,2784,5201,5767,6636,14254
A TCP tuning daemon,1,1,1,1,1,1
A Tale of,3,4,17,236,1853,12727
A Teaching Method,1,1,1,8,25,44
A Team,2,82,1196,16763,48036,49917
A Technique,30,606,755,764,820,1378
A Technique for,26,123,313,394,464,724
A Temporal,9,238,354,396,754,4446
A Termination Test,1,1,3,6,9,43
A Test Approach,1,1,1,69,155,741
A Testbed,3,20,25,86,1240,15318
A Theorem,5,189,337,1017,2309,14128
A Theorem About,1,1,2,2,8,118
A Theorem Prover,1,21,22,63,72,117
A Theorem on,2,8,31,157,474,989
A Theory of,19,128,174,390,637,1640
A Theory of Mean,1,1,1,17,79,153
A Tight Lower,3,3,4,5,13,62
A Tool,70,523,1282,9476,46604,49887
A Tool for,50,142,245,347,1212,7633
A Tool for Automatic,3,5,6,7,10,23
A Tool for Early,1,1,1,6,22,102
A Tool for the,5,14,32,94,242,713
A Toolkit for,3,12,18,74,246,369
A Transformation,8,207,269,289,318,1809
A TreeBased inverted,1,1,1,1,1,1
A TreeToTree Editing,1,1,1,1,1,1
A Tutorial,15,53,68,103,568,4758
A Tutorial on,5,8,16,33,68,132
A Tutorial on the,1,1,3,7,10,18
A Two Degrees of,1,3,3,4,8,23
A TwoLevel,2,14,20,32,332,1715
A TwoPhase,1,4,7,16,130,1057
A TwoStep Model,1,1,1,4,4,10
A Type System,1,12,15,30,289,1940
A TypeTheoretic,2,2,2,2,21,125
A Typed,3,47,368,1327,17162,48126
A UML Metamodel for,1,1,1,1,1,3
A UnificationBased,1,4,5,8,23,46
A Unified,50,72,100,205,849,5765
A Unified Framework,8,9,9,18,21,25
A Unified Model for,4,4,5,5,6,15
A Unifying,15,28,41,95,420,4432
A Unifying Framework,7,8,9,17,20,21
A Universal,12,87,135,254,326,1183
A User,22,369,1312,15764,48377,49944
A User Solution to,1,1,1,1,3,47
