word, delta, card(s)
A System Design,0,23946:8095:896:135:101:101:99:99:72:2:2:2:2:2:2
A System Design,1,49981:49685:24532:6369:4884:4863:4810:4807:1283:143:63:42:39:39:39
A System Design,2,49981:49981:49711:27268:8015:6488:5759:5677:5087:1343:270:97:62:57:57
A System Design,3,49981:49981:49981:49717:37363:18415:8614:6291:5772:5093:1491:415:170:73:69
ATM WANs,0,23946:417:230:187:2:1:1:1
ATM WANs,1,49981:31875:1401:483:189:13:5:3
ATM WANs,2,49981:49981:37195:12838:626:243:81:5
ATM WANs,3,49981:49981:49981:49733:15347:1817:261:102
Active Object,0,23946:1371:456:407:293:189:181:13:11:10:10:10:10
Active Object,1,49981:44141:17181:8293:2064:1777:1451:216:25:21:20:20:20
Active Object,2,49981:49981:49423:39892:10635:4710:4089:1491:233:34:31:29:29
Active Object,3,49981:49981:49981:49797:40613:19114:9969:4134:1512:237:122:37:35
Adaptive Browsing,0,23946:1376:693:605:605:493:464:461:458:18:2:2:1:1:1:1:1
Adaptive Browsing,1,49981:42062:5825:816:718:695:564:534:529:458:43:13:2:1:1:1:1
Adaptive Browsing,2,49981:49981:49231:12825:2164:1188:719:603:582:530:466:129:15:2:1:1:1
Adaptive Browsing,3,49981:49981:49981:49499:38446:27381:3734:3070:2854:607:533:478:133:25:4:1:1
An Abstract Account,0,23946:4826:2387:699:16:14:13:13:13:13:13:12:1:1:1:1:1:1:1
An Abstract Account,1,49981:48919:35304:4461:833:86:57:55:54:51:51:36:12:1:1:1:1:1:1
An Abstract Account,2,49981:49981:49771:38225:5746:1496:717:596:579:565:562:160:38:12:3:1:1:1:1
An Abstract Account,3,49981:49981:49981:49771:39437:11876:4352:1711:792:698:687:606:162:38:17:8:1:1:1
An Analytical Study,0,23946:4826:2387:699:83:76:76:68:15:15:15:10:10:10:4:3:3:3:3
An Analytical Study,1,49981:48919:35304:4461:1413:249:195:178:73:73:20:17:12:12:10:4:3:3:3
An Analytical Study,2,49981:49981:49771:38225:11422:3079:1910:1526:210:194:103:28:25:25:12:10:4:3:3
An Analytical Study,3,49981:49981:49981:49771:43753:18413:5009:2504:1635:1502:230:123:48:48:27:12:10:8:3
An Experiment with,0,23946:4826:2387:576:215:119:107:106:74:66:66:66:66:16:2:2:2:2
An Experiment with,1,49981:48919:35304:3389:888:406:291:216:156:102:102:102:94:71:17:13:3:3
An Experiment with,2,49981:49981:49771:37260:5258:2236:1063:820:562:317:284:284:263:115:71:19:13:3
An Experiment with,3,49981:49981:49981:49826:37821:7693:4313:2244:1082:683:595:552:404:269:126:91:32:25
An appreciation,0,23946:4826:2387:99:27:27:24:1:1:1:1:1:1:1:1
An appreciation,1,49981:48919:35304:7944:445:236:160:26:2:2:2:2:2:2:2
An appreciation,2,49981:49981:49771:42196:9929:1520:717:167:29:7:2:2:2:2:2
An appreciation,3,49981:49981:49981:49863:43780:13213:3949:1061:247:52:28:10:6:5:5
Applied to,0,23946:3353:3291:1588:1486:74:74:74:51:51
Applied to,1,49981:38631:5566:3659:1881:1521:93:93:90:72
Applied to,2,49981:49981:38631:15285:5192:1973:1523:106:93:92
Applied to,3,49981:49981:49981:47186:29382:10046:2141:1793:1517:100
At DB2 Statistics,0,23946:340:10:1:1:1:1:1:1:1:1:1:1:1:1:1:1
At DB2 Statistics,1,49981:48858:22718:1268:6:1:1:1:1:1:1:1:1:1:1:1:1
At DB2 Statistics,2,49981:49981:49848:28861:1825:18:10:1:1:1:1:1:1:1:1:1:1
At DB2 Statistics,3,49981:49981:49981:49852:31340:1949:111:23:1:1:1:1:1:1:1:1:1
Australian,0,23946:1772:112:49:47:33:33:33:33:14
Australian,1,49981:42289:8251:3362:897:670:33:33:33:33
Australian,2,49981:49981:48816:30041:7666:2094:786:62:47:38
Australian,3,49981:49981:49981:49754:38834:14249:3788:1752:163:55
Based Learning in,0,9012:3747:2959:2783:2487:2484:70:42:37:37:37:35:35:35:26:3:3
Based Learning in,1,49981:48056:11955:6256:3669:3591:2496:456:126:52:44:43:41:41:41:27:10
Based Learning in,2,49981:49981:49493:27674:8306:7344:3674:2723:818:245:86:72:71:69:62:43:32
Based Learning in,3,49981:49981:49981:49870:37975:29616:8078:4417:3065:1268:459:292:220:218:175:78:58
Belief,0,9012:1265:118:97:97:89
Belief,1,49981:49291:13429:1891:125:107
Belief,2,49981:49981:49686:30880:5581:183
Belief,3,49981:49981:49981:49875:43173:8256
Bits,0,9012:909:86:15
Bits,1,49981:48790:18616:884
Bits,2,49981:49981:49664:32191
Bits,3,49981:49981:49981:49811
Block Shift,0,9012:299:176:161:161:82:11:1:1:1:1
Block Shift,1,49981:43202:7122:759:394:274:98:11:2:1:1
Block Shift,2,49981:49981:49295:15785:1211:558:279:100:36:2:1
Block Shift,3,49981:49981:49981:49631:19515:5409:845:289:154:41:14
Boosting and,0,9012:1080:296:22:22:13:13:13:10:3:2:2
Boosting and,1,49981:48384:3846:347:44:24:15:15:14:12:3:2
Boosting and,2,49981:49981:48384:18588:2880:193:68:53:48:20:17:4
Boosting and,3,49981:49981:49981:49596:36555:12717:3697:2009:1704:205:122:109
Boundaries,0,9012:1080:534:534:534:78:78:23:23:23
Boundaries,1,49981:48384:6658:1331:1051:662:102:81:26:26
Boundaries,2,49981:49981:49170:36778:3242:1246:700:237:81:27
Boundaries,3,49981:49981:49981:49740:42300:10162:2346:815:411:112
Bridge,0,9012:640:124:61:61:23
Bridge,1,49981:48069:18220:658:119:92
Bridge,2,49981:49981:49734:23735:3373:232
Bridge,3,49981:49981:49981:49817:38292:12823
Bringing email,0,9012:640:124:19:18:17:17:17:17:1:1:1:1:1
Bringing email,1,49981:48069:18220:3468:2660:57:56:56:56:17:1:1:1:1
Bringing email,2,49981:49981:49734:39982:23787:2988:239:128:117:56:17:3:1:1
Bringing email,3,49981:49981:49981:49870:42554:26861:7426:3551:3072:130:58:27:4:2
CASE,0,20327:326:50:21
CASE,1,49981:33884:997:89
CASE,2,49981:49981:40805:1411
CASE,3,49981:49981:49981:42657
CIO Multimedia,0,20327:148:3:3:1:1:1:1:1:1:1:1:1:1
CIO Multimedia,1,49981:28146:647:147:6:1:1:1:1:1:1:1:1:1
CIO Multimedia,2,49981:49981:31807:3787:344:39:24:22:22:4:4:4:4:4
CIO Multimedia,3,49981:49981:49981:49715:16300:2914:2341:2314:2310:378:329:326:326:325
Calculli for,0,20327:2243:434:264:261:261:1:1:1:1:1:1
Calculli for,1,49981:48489:24538:794:353:349:261:28:17:8:8:8
Calculli for,2,49981:49981:49207:32010:3602:639:357:267:118:37:29:28
Calculli for,3,49981:49981:49981:49603:36549:8951:721:376:286:121:67:34
Chains and,0,20327:1792:1070:148:98:31:16:4:4:4
Chains and,1,49981:38293:7664:1371:579:121:87:19:11:7
Chains and,2,49981:49981:49200:16151:6638:811:239:109:48:26
Chains and,3,49981:49981:49981:49811:43303:11586:4505:627:398:284
Checking Sequences,0,20327:1792:389:248:248:187:187:187:149:12:3:2:2:2:2:1:1:1
Checking Sequences,1,49981:38293:16572:446:288:275:215:215:210:149:21:4:3:2:2:2:1:1
Checking Sequences,2,49981:49981:49581:26742:633:383:289:227:225:211:154:22:7:3:2:2:2:1
Checking Sequences,3,49981:49981:49981:49757:27897:8147:1700:1158:1000:271:220:154:31:13:3:2:2:2
Circuitry,0,20327:487:399:395:381:318:318:6:6
Circuitry,1,49981:49002:5968:524:478:450:387:318:6
Circuitry,2,49981:49981:49773:26311:1978:487:452:416:318
Circuitry,3,49981:49981:49981:49819:33902:7474:2146:460:417
Coded Video,0,20327:13252:635:459:25:25:4:4:4:4:4
Coded Video,1,49981:48467:18579:4907:478:328:30:12:7:7:7
Coded Video,2,49981:49981:49223:29445:6706:3267:356:81:16:11:10
Coded Video,3,49981:49981:49981:49892:36286:21966:3582:695:147:67:50
Compact,0,20327:13252:6103:4716:543:66:66
Compact,1,49981:48467:18949:7715:4856:559:120
Compact,2,49981:49981:49102:24136:10297:5105:3326
Compact,3,49981:49981:49981:49315:37688:14276:8115
Comparison of the,0,20327:13252:6103:4716:543:423:322:271:269:269:238:184:184:184:10:8:7
Comparison of the,1,49981:48467:18949:7715:4856:874:521:369:317:317:306:265:214:211:188:22:9
Comparison of the,2,49981:49981:49102:24136:10297:5375:2050:722:380:376:322:309:270:219:211:188:54
Comparison of the,3,49981:49981:49981:49315:37688:18192:8627:2268:753:417:392:326:313:281:254:222:200
Coordinates,0,20327:13252:352:139:139:139:139:139:139:32:8
Coordinates,1,49981:48467:15216:1198:181:155:155:154:154:149:34
Coordinates,2,49981:49981:48467:35693:2821:679:439:198:155:155:149
Coordinates,3,49981:49981:49981:49620:38870:10672:3122:719:398:159:155
Coordination,0,20327:13252:352:139:139:139:139:139:139:106:85:85
Coordination,1,49981:48467:15216:1198:181:155:155:154:154:144:112:109
Coordination,2,49981:49981:48467:35693:2821:679:439:198:155:154:144:112
Coordination,3,49981:49981:49981:49620:38870:10672:3122:719:398:248:228:217
Corners of,0,20327:13252:485:14:13:10:4:2:1:1
Corners of,1,49981:48467:33430:6202:720:20:15:14:3:1
Corners of,2,49981:49981:49620:43556:11361:3270:224:91:23:9
Corners of,3,49981:49981:49981:49859:47599:18893:6225:1192:285:120
CosineModulated IIR,0,20327:13252:222:9:8:8:1:1:1:1:1:1:1:1:1:1:1:1:1
CosineModulated IIR,1,49981:48467:15657:1716:298:16:8:3:2:2:2:2:2:1:1:1:1:1:1
CosineModulated IIR,2,49981:49981:49617:32124:13406:1110:16:8:3:2:2:2:2:2:1:1:1:1:1
CosineModulated IIR,3,49981:49981:49981:49849:46833:22325:1137:61:17:3:3:2:2:2:2:1:1:1:1
DB2 A,0,16397:198:19:17:3
DB2 A,1,49981:22092:227:78:22
DB2 A,2,49981:49981:22691:2884:364
DB2 A,3,49981:49981:49981:49677:18281
Data Smoothing,0,16397:3544:3373:3162:1503:206:1:1:1:1:1:1:1:1
Data Smoothing,1,49981:48255:28270:4313:3548:1517:214:16:1:1:1:1:1:1
Data Smoothing,2,49981:49981:49683:33327:6678:3728:1549:510:20:3:3:2:2:2
Data Smoothing,3,49981:49981:49981:49683:46403:13289:3867:1787:561:195:20:14:13:13
Data System Data,0,16397:3544:3373:3162:1503:206:9:7:7:7:7:3:1:1:1:1
Data System Data,1,49981:48255:28270:4313:3548:1517:275:10:9:8:8:7:3:1:1:1
Data System Data,2,49981:49981:49683:33327:6678:3728:1556:499:198:27:25:13:7:3:1:1
Data System Data,3,49981:49981:49981:49683:46403:13289:5204:4125:2176:1970:1575:415:31:7:3:1
DatenbankForschung,0,16397:3544:3373:205:192:93:90:88:87:1:1:1:1:1:1:1:1:1
DatenbankForschung,1,49981:48255:28270:7546:366:206:119:108:102:87:4:1:1:1:1:1:1:1
DatenbankForschung,2,49981:49981:49683:41606:11911:1721:1572:129:108:102:87:11:1:1:1:1:1:1
DatenbankForschung,3,49981:49981:49981:49900:47056:12494:4600:1913:146:108:102:88:41:4:4:1:1:1
Decoding with,0,16397:6197:898:315:54:40:40:40:32:1:1:1:1
Decoding with,1,49981:49335:17158:2539:417:84:70:70:65:32:2:1:1
Decoding with,2,49981:49981:49640:25076:3148:929:199:175:147:66:37:5:2
Decoding with,3,49981:49981:49981:49887:36047:13777:3994:1872:1333:180:104:72:41
Deduction,0,16397:6197:160:148:143:136:136:52:52
Deduction,1,49981:49335:20076:1593:581:356:346:332:248
Deduction,2,49981:49981:49618:25255:5264:2439:2007:1572:1560
Deduction,3,49981:49981:49981:49775:34897:15448:7844:4738:4415
Design of,0,16397:6197:1951:1630:1625:1624:1148:337:333
Design of,1,49981:49335:25191:3859:1936:1932:1836:1204:455
Design of,2,49981:49981:49692:36521:5141:2557:2094:1838:1233
Design of,3,49981:49981:49981:49892:38765:19746:7001:2480:2187
Detour The,0,16397:6197:737:3:3:3:2:1:1:1
Detour The,1,49981:49335:18261:1287:19:3:3:2:1:1
Detour The,2,49981:49981:49833:29750:2555:722:37:5:2:2
Detour The,3,49981:49981:49981:49899:37391:18206:2397:85:23:10
Discrete Algorithmic,0,16397:4732:2587:553:224:180:169:155:125:5:2:2:2:2:2:2:2:2:1:1
Discrete Algorithmic,1,49981:48835:15462:3475:2331:259:212:196:175:125:7:2:2:2:2:2:2:2:2:1
Discrete Algorithmic,2,49981:49981:49634:29317:4918:3165:280:215:196:175:128:16:2:2:2:2:2:2:2:2
Discrete Algorithmic,3,49981:49981:49981:49743:35482:11978:3709:708:232:196:177:128:37:14:10:10:10:10:2:2
Dissemination of,0,16397:4732:2587:48:29:20:20:20:20:20:19:18:18:13:4:4
Dissemination of,1,49981:48835:15462:3024:196:38:29:21:21:21:21:20:20:19:14:7
Dissemination of,2,49981:49981:49634:24060:6358:347:76:31:30:21:21:21:20:20:19:14
Dissemination of,3,49981:49981:49981:49634:41534:12749:2333:357:91:76:66:46:46:37:26:24
Dream Comes,0,16397:318:11:1:1:1:1:1:1:1:1
Dream Comes,1,49981:48354:21118:1286:134:48:13:4:4:1:1
Dream Comes,2,49981:49981:49804:39818:7038:1062:99:53:25:4:1
Dream Comes,3,49981:49981:49981:49896:43576:21632:2172:1004:325:27:4
Duris,0,16397:185:47:28:1
Duris,1,49981:40385:10426:1370:209
Duris,2,49981:49981:49220:29946:6674
Duris,3,49981:49981:49981:49811:39044
EICs Message It,0,12340:21:3:1:1:1:1:1:1:1:1:1:1:1:1
EICs Message It,1,49981:22309:531:16:6:2:2:2:2:2:2:2:1:1:1
EICs Message It,2,49981:49981:33131:2479:666:21:4:2:2:2:2:2:2:1:1
EICs Message It,3,49981:49981:49981:48403:28824:1503:311:48:26:26:26:26:9:2:1
EnergyAware,0,12340:2412:77:77:77:68:2:2:2:2:2
EnergyAware,1,49981:48603:13167:2535:200:113:68:4:4:4:4
EnergyAware,2,49981:49981:49856:31856:3501:287:113:68:15:5:4
EnergyAware,3,49981:49981:49981:49922:41728:5470:308:116:74:17:6
Entropy,0,12340:2412:386:89:65:64:56
Entropy,1,49981:48603:22580:2824:1673:74:69
Entropy,2,49981:49981:49662:30081:5979:2023:87
Entropy,3,49981:49981:49981:49864:45207:7668:2182
Euclidean Embeddings,0,12340:153:42:41:41:41:35:34:34:34:1:1:1:1:1:1:1:1:1:1
Euclidean Embeddings,1,49981:39245:4834:146:45:43:43:38:37:37:34:1:1:1:1:1:1:1:1:1
Euclidean Embeddings,2,49981:49981:46974:17125:4260:62:45:43:38:38:37:34:2:1:1:1:1:1:1:1
Euclidean Embeddings,3,49981:49981:49981:49032:35834:5574:817:74:43:42:38:37:34:10:1:1:1:1:1:1
Experience Using,0,12340:3052:1533:868:816:566:245:245:243:243:105:4:4:4:4:4
Experience Using,1,49981:16204:3536:2559:1237:904:641:641:271:268:254:107:7:6:6:6
Experience Using,2,49981:49981:35376:11726:5797:1614:1133:695:642:276:271:254:209:59:22:7
Experience Using,3,49981:49981:49981:49580:33586:10632:3069:1355:724:667:426:273:261:215:93:25
Extension in Java,0,12340:3052:932:665:619:220:220:172:172:74:1:1:1:1:1:1:1
Extension in Java,1,49981:16204:4847:2271:755:658:358:247:199:188:78:7:5:1:1:1:1
Extension in Java,2,49981:49981:48652:26514:4437:1014:821:427:404:230:191:88:65:5:1:1:1
Extension in Java,3,49981:49981:49981:49832:37507:10691:2916:1623:1240:635:265:220:189:66:13:2:1
Failures,0,9322:1705:187:94:76:76:76:17
Failures,1,49981:48061:6231:1430:104:86:86:82
Failures,2,49981:49981:49683:29717:2675:231:110:96
Failures,3,49981:49981:49981:49765:34924:6152:2286:596
Files Towards,0,9322:1772:394:166:45:20:1:1:1:1:1:1:1
Files Towards,1,49981:48754:7323:1983:217:189:27:10:1:1:1:1:1
Files Towards,2,49981:49981:49370:34405:7974:4333:274:45:16:5:5:5:4
Files Towards,3,49981:49981:49981:49881:44445:30653:5349:1861:74:43:31:26:24
GIS,0,6562:127:50
GIS,1,49981:18247:617
GIS,2,49981:49981:33083
GIS,3,49981:49981:49981
Grammar Systems,0,6562:2146:1435:252:246:246:218:48:17:16:16:16:16:16:14
Grammar Systems,1,49981:47856:21499:5078:1514:365:269:221:49:17:16:16:16:16:16
Grammar Systems,2,49981:49981:49576:27839:5221:1594:387:274:221:52:22:18:17:17:17
Grammar Systems,3,49981:49981:49981:49691:29785:10324:2001:478:283:221:204:27:21:18:17
Group Signatures for,0,6562:2146:421:370:337:162:26:4:4:4:4:4:4:4:4:3:2:2:1:1
Group Signatures for,1,49981:47856:19672:1205:461:381:169:31:4:4:4:4:4:4:4:4:4:2:2:2
Group Signatures for,2,49981:49981:49567:25296:3446:536:388:207:32:4:4:4:4:4:4:4:4:4:2:2
Group Signatures for,3,49981:49981:49981:49683:31577:8569:1116:448:221:100:15:9:9:9:9:5:5:4:4:2
Guarantees in,0,6562:319:66:66:34:34:34:34:34:13:9:4:4
Guarantees in,1,49981:37965:7249:266:75:41:41:41:41:36:28:10:5
Guarantees in,2,49981:49981:49132:27109:6063:207:48:42:42:41:39:33:15
Guarantees in,3,49981:49981:49981:49712:38164:12256:2405:700:42:42:41:39:33
HighEnergy,0,5127:1428:722:717:4:4:3:3:3:3
HighEnergy,1,49981:48712:6593:1431:717:7:4:3:3:3
HighEnergy,2,49981:49981:49063:13413:1434:735:489:281:3:3
HighEnergy,3,49981:49981:49981:49432:14452:5219:1021:619:297:15
ITSystem auf,0,13716:204:16:2:2:2:2:2:1:1:1:1
ITSystem auf,1,49981:24804:939:48:32:30:30:30:12:1:1:1
ITSystem auf,2,49981:49981:35997:7171:5072:5037:4980:4979:1343:54:2:1
ITSystem auf,3,49981:49981:49981:41824:12611:7772:6155:6056:5275:1509:118:6
Inference by,0,13716:8186:1840:206:198:173:173:167:166:131:1:1
Inference by,1,49981:48557:9271:6340:4425:573:519:506:475:453:131:12
Inference by,2,49981:49981:49083:26797:12557:5461:1833:815:790:649:456:137
Inference by,3,49981:49981:49981:49839:41505:14935:7216:3187:1866:1165:661:458
Informatics The,0,13716:8186:1840:1385:1368:1368:1360:1347:1346:21:21:17:1:1:1
Informatics The,1,49981:48557:9271:2544:2192:1722:1707:1669:1656:1376:55:42:18:1:1
Informatics The,2,49981:49981:49083:28004:19702:4444:3443:2035:1993:1658:1377:1124:121:46:28
Informatics The,3,49981:49981:49981:49716:39581:21150:7331:3852:2443:2021:1659:1580:1132:135:102
Instant messaging in,0,13716:8186:396:250:75:57:14:4:1:1:1:1:1:1:1:1:1:1:1:1
Instant messaging in,1,49981:48557:18265:6424:388:182:137:66:5:4:4:4:4:4:4:4:4:3:1:1
Instant messaging in,2,49981:49981:49590:38085:10929:1453:307:175:66:19:5:4:4:4:4:4:4:4:3:1
Instant messaging in,3,49981:49981:49981:49848:44539:20361:5372:1372:190:119:39:5:5:4:4:4:4:4:4:3
Jrg,0,1015:4:3
Jrg,1,49981:47766:1784
Jrg,2,49981:49981:48973
Jrg,3,49981:49981:49981
Laplace Transforms,0,10243:2404:14:8:8:8:6:6:4:4:4:4:4:4:4:4:4:2
Laplace Transforms,1,49981:48124:6770:23:12:8:8:6:6:5:5:5:5:5:5:5:5:4
Laplace Transforms,2,49981:49981:48819:30608:1674:277:113:30:6:6:5:5:5:5:5:5:5:5
Laplace Transforms,3,49981:49981:49981:49361:37897:6727:1306:629:57:17:15:8:7:6:5:5:5:5
Local Determinacy,0,10243:2762:578:508:395:251:11:4:1:1:1:1:1:1:1:1:1
Local Determinacy,1,49981:48459:7725:1161:598:442:252:62:13:1:1:1:1:1:1:1:1
Local Determinacy,2,49981:49981:49348:23933:9242:7269:977:426:85:22:9:2:2:2:1:1:1
Local Determinacy,3,49981:49981:49981:49779:38607:18885:7823:2231:965:214:73:14:7:5:4:1:1
Logic of Multisets,0,10243:2762:1398:1314:1285:740:44:39:39:2:2:2:2:2:1:1:1:1
Logic of Multisets,1,49981:48459:8196:2150:1778:1359:763:102:61:39:4:2:2:2:2:1:1:1
Logic of Multisets,2,49981:49981:49301:21383:4422:2818:1370:795:162:65:41:5:3:2:2:2:1:1
Logic of Multisets,3,49981:49981:49981:49761:34447:11362:3050:1509:1141:195:68:44:11:8:2:2:2:1
Loop Structures in,0,10243:2762:164:96:43:5:2:1:1:1:1:1:1:1:1:1:1:1
Loop Structures in,1,49981:48459:5016:449:128:45:7:2:1:1:1:1:1:1:1:1:1:1
Loop Structures in,2,49981:49981:48459:14037:2129:282:73:23:6:5:5:5:5:5:4:3:1:1
Loop Structures in,3,49981:49981:49981:48917:42445:7883:1178:485:205:181:178:178:178:154:54:33:10:9
LowPower,0,10243:2762:310:18:17:17:17:17
LowPower,1,49981:48459:5764:321:67:36:36:36
LowPower,2,49981:49981:48677:6326:588:78:43:43
LowPower,3,49981:49981:49981:48919:21919:983:564:483
MIMD,0,16816:157:35:31
MIMD,1,49981:25496:449:72
MIMD,2,49981:49981:25496:888
MIMD,3,49981:49981:49981:32643
Matching,0,16816:4093:705:284:284:255:255:255
Matching,1,49981:48246:29955:1518:1176:884:855:323
Matching,2,49981:49981:49691:35613:7351:2577:1500:1375
Matching,3,49981:49981:49981:49766:41538:28684:5897:4049
Matroids,0,16816:4093:705:212:13:13:13:5
Matroids,1,49981:48246:29955:1364:290:214:15:15
Matroids,2,49981:49981:49691:39574:22030:849:216:15
Matroids,3,49981:49981:49981:49847:46159:29808:2432:709
Mechanics to,0,16816:3724:229:228:227:223:221:41:5:5:1:1
Mechanics to,1,49981:49356:16342:3825:320:285:278:242:221:14:5:4
Mechanics to,2,49981:49981:49649:22902:6286:2743:1200:335:277:223:23:13
Mechanics to,3,49981:49981:49981:49730:40450:15385:4050:1247:363:278:226:115
Method Based on,0,16816:3724:1541:1185:1182:1180:436:9:8:8:8:8:8:8:8
Method Based on,1,49981:49356:14121:2424:1489:1457:1303:438:32:11:11:11:11:11:11
Method Based on,2,49981:49981:49839:26110:6383:1557:1462:1303:487:54:16:15:15:14:14
Method Based on,3,49981:49981:49981:49863:44555:10600:2201:1472:1312:852:73:40:39:17:17
Methods of Shape,0,16816:3724:1541:1185:1182:1180:395:309:21:16:16:3:2:2:2:2
Methods of Shape,1,49981:49356:14121:2424:1489:1457:1249:901:355:212:61:19:5:2:2:2
Methods of Shape,2,49981:49981:49839:26110:6383:1557:1458:1376:1098:657:293:95:22:6:2:2
Methods of Shape,3,49981:49981:49981:49863:44555:10600:1878:1584:1432:1192:739:332:127:41:9:8
Mining Numerical,0,16816:1496:793:714:244:244:196:2:1:1:1:1:1:1:1:1
Mining Numerical,1,49981:48897:33257:2822:1344:870:827:204:10:1:1:1:1:1:1:1
Mining Numerical,2,49981:49981:49570:38384:8069:5907:4885:888:236:17:4:1:1:1:1:1
Mining Numerical,3,49981:49981:49981:49570:44956:25397:21222:5166:1076:301:82:28:12:12:8:8
Mining in der Praxis,0,16816:1496:793:714:244:244:196:17:17:17:2:2:2:2:2:2:2:2:2:2
Mining in der Praxis,1,49981:48897:33257:2822:1344:870:827:212:58:35:17:7:2:2:2:2:2:2:2:2
Mining in der Praxis,2,49981:49981:49570:38384:8069:5907:4885:1081:521:322:50:20:9:2:2:2:2:2:2:2
Mining in der Praxis,3,49981:49981:49981:49570:44956:25397:21222:5814:2506:1391:378:104:39:25:3:3:3:3:3:3
Modification,0,16816:5021:3492:102:102:93:38:38:38:38:38:38
Modification,1,49981:48560:9403:5121:135:123:101:52:47:47:47:47
Modification,2,49981:49981:49265:24435:5528:811:135:113:62:60:57:57
Modification,3,49981:49981:49981:49787:35226:10718:3032:1798:1648:1586:1583:1579
Multiplicities,0,16816:2918:2727:2716:2714:932:583:105:69:9:9:3:3:3
Multiplicities,1,49981:40215:8761:4206:3193:2863:1197:632:116:72:72:69:3:3
Multiplicities,2,49981:49981:47615:23267:11646:3196:2898:1395:901:144:82:82:69:3
Multiplicities,3,49981:49981:49981:49653:42943:11910:3417:2961:1719:927:169:88:82:69
Networks NAS SAN,0,7423:3870:2491:2098:2096:2096:2095:1253:433:5:1:1:1:1:1:1
Networks NAS SAN,1,49981:49266:13157:3968:2539:2535:2533:2349:1910:436:38:1:1:1:1:1
Networks NAS SAN,2,49981:49981:49827:16224:6500:3298:3165:2572:2497:1910:496:53:26:6:1:1
Networks NAS SAN,3,49981:49981:49981:49835:42147:18547:3490:3227:3051:2497:1916:559:272:46:7:1
New Test Criterion,0,7423:3870:784:700:50:32:4:4:3:2:1:1:1:1:1:1:1:1
New Test Criterion,1,49981:49266:5659:1383:727:185:55:5:5:3:2:1:1:1:1:1:1:1
New Test Criterion,2,49981:49981:49343:42993:4169:1499:394:277:74:12:3:2:1:1:1:1:1:1
New Test Criterion,3,49981:49981:49981:49824:44064:16845:3641:1264:594:100:18:4:2:2:1:1:1:1
Newtons Method for,0,7423:3870:784:17:17:16:4:4:3:3:3:3:3:3:3:2:2:2
Newtons Method for,1,49981:49266:5659:3319:20:18:16:12:6:5:4:4:4:4:3:3:2:2
Newtons Method for,2,49981:49981:49343:30622:5328:165:52:34:13:6:5:4:4:4:4:3:3:2
Newtons Method for,3,49981:49981:49981:49835:40801:13977:1772:599:44:16:11:5:4:4:4:4:3:3
Note on,0,7423:1600:338:190:131:119:118
Note on,1,49981:48315:7305:1170:380:180:164
Note on,2,49981:49981:49647:33885:6098:689:260
Note on,3,49981:49981:49981:49898:48468:19081:3512
Oberon2,0,9022:1424:12:11:8:8:2
Oberon2,1,49981:24653:4714:1748:15:8:8
Oberon2,2,49981:49981:49434:27803:2296:78:8
Oberon2,3,49981:49981:49981:49834:39086:10360:135
On Search by Address,0,9022:2362:1742:86:13:4:4:4:4:3:1:1:1:1:1:1:1:1:1:1
On Search by Address,1,49981:48512:31305:4480:625:89:53:32:32:22:3:1:1:1:1:1:1:1:1:1
On Search by Address,2,49981:49981:49759:38200:12425:1823:768:467:446:286:26:7:5:1:1:1:1:1:1:1
